#floor_color
0.09480,0.13725,0.09352

#background_color
0.70588,0.23183,0.23183

#boxes
boxCount: 13

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-17.86651,-0.00000,20.20534,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-23.97374,0.00000,2.10276,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,15.01038,0.00000,25.76792,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,7.32895,0.00000,-7.70853,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,14.21848,0.00000,-23.11032,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-16.67996,0.00000,-10.42532,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,31.24618,0.00000,18.62145,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-37.78073,-0.00000,13.70223,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-4.91374,0.00000,10.77416,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-1.24896,0.00000,-16.84785,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,18.78413,-0.00000,-8.84676,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,31.84528,0.00000,32.29610,1.00000

