#floor_color
0.27603,0.37255,0.27028

#background_color
0.70588,0.23183,0.23183

#boxes
boxCount: 20

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-17.86651,-0.00000,20.20534,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-23.97374,0.00000,2.10276,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,15.01038,0.00000,25.76792,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,7.32895,0.00000,-7.70853,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,14.21848,0.00000,-23.11032,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-7.18081,0.00000,-19.70861,1.00000

scale: 5.00000,5.00000,5.00000
color: 0.60000,0.60000,0.60000
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,31.24618,0.00000,18.62145,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-44.67389,0.00000,39.61169,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-9.81185,0.00000,37.68622,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-25.86177,0.00000,40.26713,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,4.31356,0.00000,36.54905,1.00000

scale: 5.00000,20.00000,5.03400
color: 0.93627,0.31209,0.31209
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,31.84528,0.00000,32.29610,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-36.81013,0.00000,-26.55857,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,34.70866,0.00000,-18.65823,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-23.77674,0.00000,-24.85571,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.56476,0.00000,-27.87046,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-30.33893,0.00000,25.54935,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-30.33893,0.00000,25.54935,1.00000

scale: 5.00000,5.00000,18.25300
color: 0.60000,0.60000,0.70980
modelToWorldTransform: 1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,-30.33893,0.00000,25.54935,1.00000

